Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,1,Battery_Cell,C5365915
"C1, C10, C11, C2, C3, C4",0402,6,100 nF,C1525
C12,1206,1,"2,2 uF",C50254
C5,0805,1,10 nF,C1710
"C6, C7",0402,2,18 pF,C1549
C8,1206,1,22 uF,C1549
L1,0603,1,10 uH,C1035
R1,0603,1,330R,C23138
"R10, R2, R6, R7, R8",0805,5,10 K,C17414
"R11, R12, R3",0603,3,100K,C1002
"R4, R5",0805,2,4.7k,
R9,0805,1,100R,C17408
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
U4,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C9866
U6,WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias,1,TPS62177DQC,C91241
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C2682774
